Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Solar Altitude Angle [deg](TimeStep),CR:Zone Mean Air Temperature [C](TimeStep),CR:AFN Zone Infiltration Air Change Rate [ach](Hourly) 
 05/04  10:10:00,26.7,36.0,1.7,147.0,292.5,88.5889,55.60778364843003,26.094596341161848 
 05/04  10:20:00,27.0,35.0,1.0,133.0,297.9,155.8195,57.973679282277917,26.145138799957829 
 05/04  10:30:00,27.2,34.0,0.6,208.0,354.8,224.4101,60.33938978862909,26.26025320760298 
 05/04  10:40:00,27.8,34.0,1.3,153.0,292.4,169.0248,62.7043460157368,26.350323458098147 
 05/04  10:50:00,28.2,32.0,1.6,71.0,331.2,377.2672,65.06781815989462,26.50932115440363 
 05/04  11:00:00,28.6,31.0,0.5,313.0,343.6,618.8118,67.42882883807802,26.653118310124158,0.11539498911665362 
 05/04  11:10:00,29.5,31.0,1.2,98.0,329.2,425.3029,69.78600624875328,26.87198285249456 
 05/04  11:20:00,30.2,29.0,0.9,25.0,284.0,665.0712,72.13732297402284,26.980779281326258 
 05/04  11:30:00,30.2,30.0,2.6,222.0,260.2,693.0831,74.47960175018585,27.136961119840934 
 05/04  11:40:00,30.2,31.0,1.4,125.0,294.9,620.4828,76.80750688676197,27.202672177325267 
 05/04  11:50:00,30.0,30.0,1.5,139.0,300.6,446.3404,79.11128189429485,27.286727673112546 
 05/04  12:00:00,30.3,29.0,2.3,119.0,329.4,603.4352,81.37102361395576,27.432004323432868,0.175441648099669 
 05/04  12:10:00,31.2,29.0,1.9,154.0,360.3,693.1049,83.53977065202747,27.611161605023136 
 05/04  12:20:00,31.4,28.0,1.5,174.0,363.3,514.2985,85.48383694007717,27.782090430974788 
 05/04  12:30:00,31.5,26.0,1.5,132.0,417.9,261.0154,86.76792030756399,27.91313009717228 
 05/04  12:40:00,31.5,26.0,1.8,133.0,414.9,179.9254,86.5520915023431,28.026453698130536 
 05/04  12:50:00,31.6,26.0,2.3,213.0,422.0,411.5471,85.02800972507761,28.16388327677949 
 05/04  13:00:00,32.2,26.0,2.2,139.0,413.6,397.3559,83.00414295074013,28.274206910475195,0.2134555379341808 
 05/04  13:10:00,32.2,25.0,1.5,133.0,401.0,257.912,80.80500361213886,28.36344647995419 
 05/04  13:20:00,32.1,25.0,1.8,204.0,379.2,152.136,78.53123979555382,28.450199159317735 
 05/04  13:30:00,32.1,25.0,0.8,108.0,340.0,108.3162,76.22003331822158,28.467126860298145 
